rail_line,fault,a,b,date_offset,date
EWL,train,21,29,1071,"2017,12,06"
NSL,signal,1,11,1072,"2017,12,07"
NSL,train,15,17,1072,"2017,12,07"
EWL,train,27,30,1072,"2017,12,07"
NSL,others,19,26,1080,"2017,12,15"
NSL,signal,4,8,1090,"2017,12,25"
EWL,signal,24,28,1098,"2018,01,02"
EWL,signal,4,4,1098,"2018,01,02"
NSL,train,1,4,1099,"2018,01,03"
EWL,track,10,11,1100,"2018,01,04"
NSL,train,1,10,1104,"2018,01,08"
EWL,track,12,16,1107,"2018,01,11"
NSL,others,1,26,1108,"2018,01,12"
EWL,others,17,24,1111,"2018,01,15"
NSL,others,1,26,1119,"2018,01,23"
NSL,track,7,10,1126,"2018,01,30"
NSL,signal,1,26,1130,"2018,02,03"
EWL,door,20,20,1133,"2018,02,06"
EWL,train,21,29,1133,"2018,02,06"
NSL,signal,14,24,1134,"2018,02,07"
NSL,signal,22,24,1140,"2018,02,13"
EWL,train,21,25,1143,"2018,02,16"
NSL,train,23,26,1157,"2018,03,02"
NSL,power,1,6,1159,"2018,03,04"
NSL,train,14,26,1162,"2018,03,07"
EWL,track,1,8,1164,"2018,03,09"
EWL,train,8,13,1168,"2018,03,13"
NSL,signal,1,26,1169,"2018,03,14"
EWL,others,1,2,1175,"2018,03,20"
EWL,train,24,29,1175,"2018,03,20"
EWL,train,1,29,1178,"2018,03,23"
EWL,track,24,29,1195,"2018,04,09"
EWL,train,7,15,1203,"2018,04,17"
NSL,train,12,21,1203,"2018,04,17"
EWL,track,1,2,1204,"2018,04,18"
EWL,train,24,27,1205,"2018,04,19"
NSL,train,1,15,1212,"2018,04,26"
NSL,door,14,22,1233,"2018,05,17"
EWL,train,9,12,1233,"2018,05,17"
EWL,train,19,27,1234,"2018,05,18"
NSL,train,1,26,1241,"2018,05,25"
